GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.config,ServiceRegistrationConfig,0,20,0,0,0,7,0,2,0,2
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,SetJointExecutor,39,0,0,0,8,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,GrabExecutor,34,0,0,0,7,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,AdjustJointAngleCommandExecutor,39,0,0,0,8,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,ResetToHomeExecutor,23,0,0,0,5,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,PoseCommandExecutor,16,0,0,0,4,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,OpenHandExecutor,34,0,0,0,7,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor,WebotsAdaptorApplication,8,0,0,0,3,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsSimulationInstanceService,117,28,12,0,22,9,15,3,9,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsCommandExecutionVisitor,78,0,0,0,15,0,7,0,7,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsExecutionService,171,0,6,0,42,0,7,0,4,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsAdaptorEndpointService,0,49,0,2,0,11,0,6,0,5
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,SessionService,35,230,3,19,9,54,3,23,0,15
