GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.config,ServiceRegistrationConfig,0,20,0,0,0,7,0,2,0,2
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,SetJointExecutor,0,50,0,0,0,10,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,GrabExecutor,0,34,0,0,0,8,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,AdjustJointAngleCommandExecutor,0,43,0,0,0,9,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,ResetToHomeExecutor,0,23,0,0,0,6,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,PoseCommandExecutor,0,23,0,0,0,6,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service.command_executors,OpenHandExecutor,0,34,0,0,0,8,0,3,0,3
webots-adaptor,at.jku.swe.simcomp.webotsadaptor,WebotsAdaptorApplication,8,0,0,0,3,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor,OpenApiConfig,9,0,0,0,3,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsSimulationInstanceService,0,145,1,11,0,31,1,17,0,12
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsCommandExecutionVisitor,0,78,0,0,0,15,0,7,0,7
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsExecutionService,24,176,1,9,4,46,4,8,3,4
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,WebotsAdaptorEndpointService,0,49,0,2,0,11,0,6,0,5
webots-adaptor,at.jku.swe.simcomp.webotsadaptor.service,SessionService,35,230,3,19,9,54,3,23,0,15
